actual,predicted
R1,V18
R2,R1
R2,R1
R2,R2
R2,R2
R2,R2
R2,R3
R2,R2
R3,R3
R3,R3
R4,R4
R4,R4
R4,R4
R4,R4
R4,R4
R4,R4
R5,R5
R5,R5
R5,R5
R5,R5
R5,R5
R5,R5
R5,R5
R5,R5
R5,R5
R5,R5
R5,R5
R5,R5
R5,R6
R5,R6
R5,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R6
R6,R5
V10,V10
V10,V10
V10,V10
V10,V10
V10,V10
V10,V10
V12,V12
V12,V12
V12,V12
V12,V12
V12,V12
V12,V12
V12,V12
V13,V12
V13,V13
V13,V13
V13,V13
V13,V13
V13,V13
V13,V13
V14,R2
V14,V10
V14,V14
V14,V14
V15,V15
V16,V16
V16,V16
V18,V18
V18,V18
V18,V18
V18,V18
V19,V19
V19,V19
V9,V9
V9,V9
VT,VT
VT,VT
VT,VT
VT,V15